,fullname,html,id,likes,replies,retweets,text,timestamp,url,user
11,Ron Weasley,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">말포이- 크롬이 너한테 한마디하는데?<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a>""<a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""557196504"" dir=""ltr"" href=""/Viktor_krbot""><s>@</s><b>Viktor_krbot</b></a>: 쟤는 왜 저러고 있나?""</p>",254214536356315137,0,1,0,"말포이- 크롬이 너한테 한마디하는데?#빈정""@Viktor_krbot: 쟤는 왜 저러고 있나?""",2012-10-05T13:40:43,/Ron_krbot/status/254214536356315137,Ron_krbot
12,어곰,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">굳이왜? 면전에서 할라꼬 “@DJtoyoo: 또 술먹고 전화해서 욕하겟군RT <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""429567317"" dir=""ltr"" href=""/ieezlan33""><s>@</s><b>ieezlan33</b></a>: 별러 인정받고싶지 읺아 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a> “@DJtoyoo: 어깨는 인정RT <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""429567317"" dir=""ltr"" href=""/ieezlan33""><s>@</s><b>ieezlan33</b></a>: @DJtoyoo 미안 구려서 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/kijuk?src=hash""><s>#</s><b>kijuk</b></a>””</p>",253033192418852865,0,0,0,굳이왜? 면전에서 할라꼬 “@DJtoyoo: 또 술먹고 전화해서 욕하겟군RT @ieezlan33: 별러 인정받고싶지 읺아 #빈정 “@DJtoyoo: 어깨는 인정RT @ieezlan33: @DJtoyoo 미안 구려서 #kijuk””,2012-10-02T07:26:28,/ieezlan33/status/253033192418852865,ieezlan33
13,어곰,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">별러 인정받고싶지 읺아 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a> “@DJtoyoo: 어깨는 인정RT <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""429567317"" dir=""ltr"" href=""/ieezlan33""><s>@</s><b>ieezlan33</b></a>: @DJtoyoo 미안 구려서 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/kijuk?src=hash""><s>#</s><b>kijuk</b></a>”</p>",253032639970304000,0,0,0,별러 인정받고싶지 읺아 #빈정 “@DJtoyoo: 어깨는 인정RT @ieezlan33: @DJtoyoo 미안 구려서 #kijuk”,2012-10-02T07:24:17,/ieezlan33/status/253032639970304000,ieezlan33
14,앙리 유이,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2529729132"" dir=""ltr"" href=""/suhwol""><s>@</s><b>suhwol</b></a> 그래, 삐졌다. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",252383379083915264,0,0,0,"@suhwol 그래, 삐졌다. #빈정",2012-09-30T12:24:21,/Henry_Yui_krbot/status/252383379083915264,Henry_Yui_krbot
15,앙리 유이,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2529729132"" dir=""ltr"" href=""/suhwol""><s>@</s><b>suhwol</b></a> 참 논리적인 반박이라 뭐라 반론을 못하겠군그래. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",252381476895748096,0,0,0,@suhwol 참 논리적인 반박이라 뭐라 반론을 못하겠군그래. #빈정,2012-09-30T12:16:47,/Henry_Yui_krbot/status/252381476895748096,Henry_Yui_krbot
16,열,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""619698561"" dir=""ltr"" href=""/Valentin_kbot""><s>@</s><b>Valentin_kbot</b></a> 예, 예. 찾으면요. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",247288497675837440,0,1,0,"@Valentin_kbot 예, 예. 찾으면요. #빈정",2012-09-16T10:59:06,/Yeol_Krbot/status/247288497675837440,Yeol_Krbot
17,[계정이동] [메인트윗],"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">@Elizabet_bot_kr ""아아 알았어. 찔리지 않았다면야~""

<a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",700951793229029377,0,0,0,"@Elizabet_bot_kr ""아아 알았어. 찔리지 않았다면야~""

#빈정",2016-02-20T07:55:05,/kulumaki_lenjil/status/700951793229029377,kulumaki_lenjil
18,yora,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">근본을 잘 찾아가셨나 봅니다 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",954544341040513024,0,1,0,근본을 잘 찾아가셨나 봅니다 #빈정,2018-01-20T02:41:20,/yorathegamer/status/954544341040513024,yorathegamer
19, 👑 Free 제른 다르모어,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">저런. 내가 죽고 나서 국수라도 한 그릇씩 들고 갔으면 좋았을련만.. 안 그런가? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",951846857247940608,1,0,1,저런. 내가 죽고 나서 국수라도 한 그릇씩 들고 갔으면 좋았을련만.. 안 그런가? #빈정,2018-01-12T16:02:29,/Free_Darmoor/status/951846857247940608,Free_Darmoor
20,R-9E2 Owl light,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">원고 인도 늦으면 칼같이 지체상금 매출로 계산해서 잘라가는 양반들이 재무어 번역하느라 49만원 정산은 2년간 못하셨나부네 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",946689252758134784,0,0,0,원고 인도 늦으면 칼같이 지체상금 매출로 계산해서 잘라가는 양반들이 재무어 번역하느라 49만원 정산은 2년간 못하셨나부네 #빈정,2017-12-29T10:28:01,/r9e2owllight/status/946689252758134784,r9e2owllight
21,밍디,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">@_affogatto_ 너가 그렇게 설정해놨나보지 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",377447595024871424,0,0,0,@_affogatto_ 너가 그렇게 설정해놨나보지 #빈정,2013-09-10T15:04:53,/KMSJ81313/status/377447595024871424,KMSJ81313
22,a.k.a. V.R.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">내가 누군가의 안티가 된다면 그건 누군가 때문이 아니라 누군가의 팬 때문일 것이다. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%ED%8A%B8%EC%9D%B8%EB%82%AD?src=hash""><s>#</s><b>트인낭</b></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",376714056100347904,0,0,0,내가 누군가의 안티가 된다면 그건 누군가 때문이 아니라 누군가의 팬 때문일 것이다. #트인낭 #빈정,2013-09-08T14:30:04,/PrototypeVR/status/376714056100347904,PrototypeVR
23,a.k.a. V.R.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">롤 프로리그 이야기 나오는 꼬라지 보면 또 3~4년 후에 롤이 프로리그로 인한 과도한 경기 수 때문에 망했느니 뭐라느니 하는 소리 나올 것 같다. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",375044339027550208,0,0,0,롤 프로리그 이야기 나오는 꼬라지 보면 또 3~4년 후에 롤이 프로리그로 인한 과도한 경기 수 때문에 망했느니 뭐라느니 하는 소리 나올 것 같다. #빈정,2013-09-03T23:55:13,/PrototypeVR/status/375044339027550208,PrototypeVR
24,VerdE Egulas,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">기억나는데. 노란변태씨. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",374222113021779968,0,0,0,기억나는데. 노란변태씨. #빈정,2013-09-01T17:27:59,/Verdee_egulas/status/374222113021779968,Verdee_egulas
25,Lunes Walachia.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1678666250"" dir=""ltr"" href=""/Mihai_nenyaffle""><s>@</s><b>Mihai_nenyaffle</b></a> 조급해서 협박을 하냐? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",372238892918784000,0,2,0,@Mihai_nenyaffle 조급해서 협박을 하냐? #빈정,2013-08-27T06:07:22,/Lunes_Nenyaffle/status/372238892918784000,Lunes_Nenyaffle
26,세리파,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""470585359"" dir=""ltr"" href=""/Vegeta_kr_bot""><s>@</s><b>Vegeta_kr_bot</b></a> 네놈이라니? 좀더 부드럽게는 안되는 거야? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",372126343049138179,0,0,0,@Vegeta_kr_bot 네놈이라니? 좀더 부드럽게는 안되는 거야? #빈정,2013-08-26T22:40:08,/Seripa_bk/status/372126343049138179,Seripa_bk
27,a.k.a. V.R.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">와 진짜... 할 말이 없다. 저쯤 되면 그냥 맹목적인 증오라고밖에 할 말이 없네. 저러고서 또 몇년 후에는 앓겠지. 그때가 좋았어 하면서-_-) <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",371094258318471168,0,0,0,와 진짜... 할 말이 없다. 저쯤 되면 그냥 맹목적인 증오라고밖에 할 말이 없네. 저러고서 또 몇년 후에는 앓겠지. 그때가 좋았어 하면서-_-) #빈정,2013-08-24T02:19:00,/PrototypeVR/status/371094258318471168,PrototypeVR
28,a.k.a. V.R.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">아직도 구글 번역에서 Sea of Japan이라 그러는 거 가지고 이게 무슨 대단한 잘못인양 이야기하는 사람들이 잉네?! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",370476668407644160,0,0,0,아직도 구글 번역에서 Sea of Japan이라 그러는 거 가지고 이게 무슨 대단한 잘못인양 이야기하는 사람들이 잉네?! #빈정,2013-08-22T09:24:55,/PrototypeVR/status/370476668407644160,PrototypeVR
29,Lunes Walachia.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1678666250"" dir=""ltr"" href=""/Mihai_nenyaffle""><s>@</s><b>Mihai_nenyaffle</b></a> 멀쩡한 것 다 안다. 너야말로 평범한 마법사한테 발로 한 번 까였다고 엄살이 너무 심한 것 아냐? <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",370470670867501056,0,1,0,@Mihai_nenyaffle 멀쩡한 것 다 안다. 너야말로 평범한 마법사한테 발로 한 번 까였다고 엄살이 너무 심한 것 아냐? #빈정,2013-08-22T09:01:05,/Lunes_Nenyaffle/status/370470670867501056,Lunes_Nenyaffle
30,a.k.a. V.R.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">훗. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",370435006633496576,0,0,0,훗. #빈정,2013-08-22T06:39:22,/PrototypeVR/status/370435006633496576,PrototypeVR
31,텐카 히닝콸드,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""272140025"" dir=""ltr"" href=""/hatter365""><s>@</s><b>hatter365</b></a> [모범생이시구만.] <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",370134252324548608,0,1,0,@hatter365 [모범생이시구만.] #빈정,2013-08-21T10:44:17,/tenka_bot/status/370134252324548608,tenka_bot
32,세리파,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">@Bardock_k 그래, 정말 많이 발전했네~ <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",369092653331124226,0,0,0,"@Bardock_k 그래, 정말 많이 발전했네~ #빈정",2013-08-18T13:45:20,/Seripa_bk/status/369092653331124226,Seripa_bk
33,Ellen R. Schulz,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1601996172"" dir=""ltr"" href=""/Taniss_Selux""><s>@</s><b>Taniss_Selux</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1603530715"" dir=""ltr"" href=""/Taniss_demian""><s>@</s><b>Taniss_demian</b></a> 있는 권력은 이용하라고 있는거니까요. 뭐. 좋은 밤 되길 바라죠. 두 사람. 가는 길 다른 사람한테 시비 걸지 말고요. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",368002203719446528,0,2,0,@Taniss_Selux @Taniss_demian 있는 권력은 이용하라고 있는거니까요. 뭐. 좋은 밤 되길 바라죠. 두 사람. 가는 길 다른 사람한테 시비 걸지 말고요. #빈정,2013-08-15T13:32:17,/Taniss_ellen/status/368002203719446528,Taniss_ellen
34,Ellen R. Schulz,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1601996172"" dir=""ltr"" href=""/Taniss_Selux""><s>@</s><b>Taniss_Selux</b></a> 입 더러운 괭이새끼라면 관심이 좀 가서 말이죠. 조만간 마주하게 될 예감이 들거든. 그건 백이면 백 맞았고. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",367986197798215680,0,1,0,@Taniss_Selux 입 더러운 괭이새끼라면 관심이 좀 가서 말이죠. 조만간 마주하게 될 예감이 들거든. 그건 백이면 백 맞았고. #빈정,2013-08-15T12:28:41,/Taniss_ellen/status/367986197798215680,Taniss_ellen
35,무신의 상처,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">@seawolf405 ....그러게나 말이다. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a> 아주 지루한 나날이었겠지. 어찌나 고마운 일인지.</p>",366954076988121089,0,0,0,@seawolf405 ....그러게나 말이다. #빈정 아주 지루한 나날이었겠지. 어찌나 고마운 일인지.,2013-08-12T16:07:24,/mushin_bot/status/366954076988121089,mushin_bot
36,최재석,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">@Luccadercarr 여기서 생기는 명제. 「양시는 단순하다. 그래서 동물이다.」 인데 얘가 이런말 해주면 ""관장님~~~!  그런말씀 마세요!!!!"" 하면서 버럭하니깐 동물맞지. <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",366257027820953600,0,1,0,"@Luccadercarr 여기서 생기는 명제. 「양시는 단순하다. 그래서 동물이다.」 인데 얘가 이런말 해주면 ""관장님~~~!  그런말씀 마세요!!!!"" 하면서 버럭하니깐 동물맞지. #빈정",2013-08-10T17:57:34,/Choi_Jae_Suk_/status/366257027820953600,Choi_Jae_Suk_
37,여루미너스,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1580297976"" dir=""ltr"" href=""/MS_ZeroAlpha""><s>@</s><b>MS_ZeroAlpha</b></a> 할 수 있어! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",366219338442739713,0,1,0,@MS_ZeroAlpha 할 수 있어! #빈정,2013-08-10T15:27:48,/Girl_luminous_b/status/366219338442739713,Girl_luminous_b
38,모노노베노 후토,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""ko"">@Tojiko_Rpa 익숙하다했지 가장 맛있다고는 안했다네 <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/%EB%B9%88%EC%A0%95?src=hash""><s>#</s><b><strong>빈정</strong></b></a></p>",366165464210079744,0,1,0,@Tojiko_Rpa 익숙하다했지 가장 맛있다고는 안했다네 #빈정,2013-08-10T11:53:44,/futo_krpa/status/366165464210079744,futo_krpa
