,jaso
23,ㄴㅏㄴㅏㅁㅈㅏㄹㅗㅌㅐㅇㅓㄴㅏㅆㅇㅓㅇㅑㅎㅏㄴㅡㄴㄱㅓㄹㄲㅏㄱㅣㄲㅓㅅㅇㅣㄹㅉㅣㄱㄷㅡㄹㅇㅓㅇㅘㅆㄴㅡㄴㄷㅔㅁㅓㄹㅣㅍㅣㅇㅍㅣㅇㄷㅗㄹㅇㅏㅅㅓㄴㅜㅇㅝㅅㅓㄷㅟㅇㄱㅜㄹㄱㅓㄹㅣㄷㅏㄱㅏㅇㅓㅍㅡㄹㅂㅏㄷㅇㅏㅅㅓㄴㅗㄹㄱㅗㅇㅣㅆㅇㅡㅁㅎㅏㄹㄱㅓㅁㅏㄴㅎㅇㅡㄴㄷㅔ
24,ㅅㅏㅂㅘㅆㅈㅏㅇㅔㄱㅇㅝㄴㅂㅗㄷㅏㅇㅏㄴㅆㅡㄹㄱㅓㄹㅏㅅㅓㅇㅏㄴㅅㅏㅁ
25,ㅇㅜㄹㅣㄴㅏㄹㅏㅇㅢㅇㅝㄹㅇㅡㄴㅅㅏㄱㅖㅈㅓㄹㅇㅣㄸㅜㄹㅕㅅㅎㅏㄱㅗㅇㅝㄹㅇㅡㄴㅂㅏㄴㄷㅗㅇㅏㄴㅈㅣㄴㅏㅅㅓㅅㅏㄱㅓㄴㅅㅏㄱㅗㄱㅏㅍㅓㅇㅍㅓㅇㅌㅓㅈㅣㄴㅡㄴㄱㅔㅅㅏㄹㅁㅏㅅㄴㅏㄴㅔ
26,ㄷㅛㅇㅏㅇㅏㅇㅣㅈㅔㄴㅏㄹㅈㅑㅇㅇㅝㄹㅇㅔㅂㅗㄴㅏㅁㅁㅓㄹㅇㅓㅅㄷㅏ
27,ㄹㅗㅁㅏㅅㅓㄱㅡㅇㅔㄱㅔㅎㅏㅅㅣㄴㄷㅐㄷㅏㅂㅇㅣㅁㅜㅇㅓㅅㅇㅣㅇㅓㅆㄴㅡㄴㅑㄴㅐㄱㅏㄴㅏㄹㅡㄹㅇㅟㅎㅏㅇㅕㅂㅏㅇㅏㄹㅇㅔㄱㅔㅁㅜㄹㅡㅍㅇㅡㄹㄲㅜㄹㅎㅈㅣㅇㅏㄴㅎㅇㅡㄴㅅㅏㄹㅏㅁㅊㅣㄹㅊㅓㄴㅁㅕㅇㅇㅡㄹㄴㅏㅁㄱㅕㄷㅜㅇㅓㅆㄷㅏㄹㅏㄱㅗㅎㅏㅅㅕㅆㄷㅏ
28,ㅅㅣㅂㅏㅇㅏㄴㅈㄱㅗㅅㅣㅍㅇㅡㄴㄷㅔㄴㅐㅈㅏㄹㅣㅉㅗㄱㅇㅔㄴㅏㅁㅈㅏㄴㅗㅁㄷㅡㄹㅇㅣㅆㅇㅓㅅㅓㄱㅏㄱㅣㅅㅣㄹㅎㅇㅡㅁ
29,ㄱㅏㅁㄱㅣㅇㅑㄱㅇㅔㅎㅗㅇㅅㅏㅁㅊㅏㄷㅜㄹㅇㅣㄱㅏㅌㅇㅣㅁㅓㄱㅇㅡㅁㅕㄴㄷㅚㄹㅕㅇㅕㄱㅎㅛㄱㅘㄱㅏㄴㅏㄴㅡㄴㄱㅓㄹㄹㅗㅇㅏㄹㄱㅗㅇㅣㅆㄴㅡㄴㄷㅔㅇㅏㄴㅣㄷㅓㄴㄱㅏㅇㅏㅁㅜㅌㅡㄴㄴㅓㅁㅜㅁㅜㄹㅣㅎㅏㅈㅣㄴㅁㅏㄱㅡㄹㅓㄷㅏㅎㅏㄴㅂㅓㄴㅇㅔㅎㅜㄱㄱㅏㄴㅡㄴㅇㅣㄹㅇㅣㅅㅐㅇㅇㅏㄴㅣㄷㅏㅎㅗㅇㅅㅏㅁㄸㅐㅁㅜㄴㅇㅔㅎㅏㄴㅂㅓㄴㅇㅔㅎㅜㄱㄱㅏㅈㅣㄷㅗㅁㅗㅅㅎㅏㄴㄷㅏㄱㅜ
30,ㅇㅘㅅㅜㅅㅈㅏㄴㅣㅁㅇㅣㅆㅣㅂㄱㅔㅇㅣㅇㅓㄴㄱㅡㅂㅎㅏㅅㅕㅆㄷㅏㅇ
31,ㅎㅗㅇㅈㅣㄴㅎㅗㅇㅢㅂㅕㄹㅁㅕㅇㅇㅣㄴㅍㅗㄱㅍㅜㅇㅈㅓㄱㅡㅇㅘㅍㅗㅍㅗㅍㅜㅇㅇㅡㄴㅎㅏㄴㅈㅏㄱㅏㄱㅏㅌㄷㅏㅅㅏㅇㅅㅣㄱ
32,ㅃㅣㅂㅣㄱㅁㅣㅅㅡㅇㅇㅣㄴㅋㅏㄷㅡㅇㅣㅂㄴㅣㄷㅏㅃㅣㅂㅣㄱㅎㅏㄴㄷㅗㅊㅗㄱㅘㅇㅣㅂㄴㅣㄷㅏ
33,ㅇㅜㄹㅣㅇㅖㄹㅣㄴㅣㄱㅡㄹㅆㅣㅇㅖㅃㅡㄴㅔ
34,ㅇㅜㅈㅜㅅㅗㄴㅕㄱㅗㅇㅂㅏㅇㅍㅗㅋㅏㄱㅛㅎㅘㄴㅎㅐㅇㅛㅈㅓㅈㅜㅊㅏㄷㅏㅇㅕㅇㅇㅕㄹㅡㅁㅈㅜㅊㅏㅇㅕㄹㅡㅁㅅㅜㅂㅣㄴㄴㅣㅁㅈㅜㅊㅏㅂㅗㄴㅏㄹㅜㄷㅏㅅㅓㄹㅇㅏㅇㅕㄴㅈㅓㅇㅇㅔㄱㅅㅣㅈㅜㅊㅏㅂㅗㄴㅏㄹㅜㄷㅏㅅㅓㄹㅇㅏㅇㅡㄴㅅㅓㅇㅔㄱㅅㅣㄱㅗㅇㅂㅏㅇㅇㅔㅅㅓㄱㅛㅎㅘㄴㅎㅐㅇㅛ
35,ㅈㅏㄴㅔㅅㅏㅇㄱㅘㄴㅇㅣㅅㅏㅅㅓㄹㅌㅏㅁㅈㅓㅇㅂㅓㄹㅇㅣㅇㅔㄴㅡㄴㅁㅏㄴㅈㅗㄱㅇㅡㄹㅁㅗㅅㅎㅏㄴㅡㄴㅁㅗㅇㅑㅇㅇㅣㄱㅜㄴ
36,ㅇㅝㄹㅇㅣㄹㅋㅓㅁㅂㅐㄱㅈㅣㄴㅉㅏㄷㅐㅂㅏㄱㅇㅣㅂㄴㅣㄷㅏ
37,ㄴㅏㄹㅜㅌㅗㅅㅡㅌㅗㄹㅣㄱㅏㅈㅏㄹㄱㅣㅇㅓㄱㅇㅣㅇㅏㄴㄴㅏㄴㅡㄴㄷㅔㅂㅏㄱㅇㅏㄴㅓㅎㄴㅡㄴㄱㅓㅅㅇㅣㄹㅏㅁㅕㄴㅁㅛㅅㅏㅈㅓㄱㅇㅡㄹㅗㄷㅓㅇㅘㄴㅂㅕㄱㅎㅐㅈㅣㅈㅣㅇㅏㄴㅎㄴㅏㅅㅣㅍㅇㅓㅇㅛㅂㅏㄱㅇㅏㄴㅓㅎㄴㅡㄴㄴㅗㄹㅕㄱㄷㅗㅇㅏㄴㅎㅏㄴㄱㅔㄱㅣㄷㅡㄱㄱㅝㄴㅇㅣㄹㅏㄱㅗㄲㅏㄴㄷㅏ
38,ㅂㅣㅊㅓㄱㄱㅓㄹㅣㅁㅕㅁㅗㅁㅇㅡㄹㅇㅣㄹㅇㅡㅋㅕㅆㄷㅏㅇㅏㅇㅣㄱㅏㅇㅇㅢㄴㅡㄴㅈㅣㄴㅉㅏㅍㅣㄹㄱㅣㅎㅐㅇㅑㄷㅚㄴㅡㄴㄷㅔㄴㅜㄱㅜㅇㅔㄱㅔㄴㅗㅌㅡㄹㅡㄹㅂㅣㄹㄹㅣㄱㅗㅂㅗㄷㅏㅂㅇㅡㄹㅗㅋㅓㅍㅣㄹㅡㄹㅅㅏㅈㅜㄹㅈㅣㄱㅖㅎㅚㄱㅇㅡㄹㅅㅔㅇㅜㄴㅡㄴㅈㅒㄴㅗㅇㅔㄱㅔㅈㅒㅁㅣㄴㅇㅣㄴㅗㅌㅡㄹㅡㄹㄴㅐㅁㅣㄹㅇㅓㅆㄷㅏㄴㅏㅈㅒㅁㅣㄴㅇㅡㄴㄱㅡㄴㅏㄹㅅㅣㄴㅇㅣㅂㅅㅒㅇㅇㅣㄴㅅㅐㅇㅊㅓㅇㅡㅁㅇㅡㄹㅗㄱㅏㅇㅇㅢㅅㅣㄱㅏㄴㅇㅔㅍㅣㄹㄱㅣㄹㅡㄹㅎㅐㅆㄱㅗㄱㅡㄴㅗㅌㅡㄴㅡㄴㅈㅒㄴㅗㅇㅢㅅㅗㄴㅇㅡㄹㅗㄷㅡㄹㅇㅓㅇㅗㄴㄱㅓㅅㅇㅣㅇㅓㅆㄷㅏㅁㅝㄱㅡㄹㅓㄴㄴㅏㄹㄷㅗㅇㅣㅆㅇㅓㅆㄷㅏㄴㅡㄴㅇㅒㄱㅣㄷㅏ
39,ㅇㅡㅇㅏㄱㅙㄴㅊㅏㄴㅎㅅㅡㅂㄴㅣㄷㅏㅇㅗㅎㅣㄹㅕㅈㅔㄱㅏㅁㅜㄹㅣㅎㅏㄴㅂㅜㅌㅏㄱㅇㅡㄹㅎㅏㄴㄱㅓㄹㅇㅛㅈㅗㅎㅇㅡㄴㅎㅏㄹㅜㄷㅚㅅㅔㅇㅛ
40,ㅎㅔㅎㄱㅡㄹㅓㅁㄴㅏㅇㅣㅈㅔㄷㅏㄴㅊㅔㄹㅗㄴㅗㄹㄹㅓㄱㅏㄹㄸㅐㅇㅓㄴㄴㅣㄹㅏㅇㄱㅏㅌㅇㅡㄴㅂㅏㅇㅆㅡㅁㅕㄴㄷㅚㄱㅔㅆㄴㅔ
41,ㅈㅓㅅㅣㅂㅜㄴㅇㅣㅇㅛ
42,ㅇㅣㅂㄷㅓㄹㅓㅇㅜㄴㄱㅙㅇㅇㅣㅅㅐㄲㅣㄹㅏㅁㅕㄴㄱㅘㄴㅅㅣㅁㅇㅣㅈㅗㅁㄱㅏㅅㅓㅁㅏㄹㅇㅣㅈㅛㅈㅗㅁㅏㄴㄱㅏㄴㅁㅏㅈㅜㅎㅏㄱㅔㄷㅚㄹㅇㅖㄱㅏㅁㅇㅣㄷㅡㄹㄱㅓㄷㅡㄴㄱㅡㄱㅓㄴㅂㅐㄱㅇㅣㅁㅕㄴㅂㅐㄱㅁㅏㅈㅇㅏㅆㄱㅗ
43,
44,ㅁㅏㅁㅏㅁㅏㅁㅏㅇㅓㅉㅣㅇㅓㅉㅣㅇㅘㅇㅇㅢㅅㅗㄴㅇㅔㅊㅓㄴㅎㅏㄴㄴㅗㅁㅇㅢㅍㅣㄹㅡㄹㅁㅜㄷㅎㅣㄹㅕㅎㅏㅅㅣㅂㄴㅣㄲㅏ
45,ㅇㅏㄴㅐㄷㅡㄴㄴㅏㅁㅍㅕㄴㅇㅣㄷㅡㄴㅁㅏㅅㅁㅏㄴㅈㅗㅎㅇㅡㅁㄱㅡㅁㅏㄴㅇㅣㅈㅣ
46,ㅇㅣㄹㅉㅣㄱㅅㅣ
47,ㅅㅣㄴㄱㅗㄱㄷㅓㅅㅛㄴㅣㄱㅏㅎㅏㅁㅕㄴㄷㅡㄹㅇㅓㅈㅜㄹㅏㅈㅜ
48,ㅇㅏㄱㅡㄱㅓㄴㄴㅏㄹㅡㅁㅋㅓㄹㅌㅡㅈㅓㄱㅇㅣㄴㅇㅣㄴㄱㅣㄱㅏㅇㅣㅆㄷㅓㄴㄴㅡㄲㅣㅁㅇㅣ
49,ㅇㅕㅇㅎㅘㅂㅡㅇㅣㅇㅏㅇㅣㅍㅣㅇㅗㄴㄹㅏㅇㅣㄴㅅㅏㅈㅣㄴㅈㅓㄴㅈㅏㅇㄷㅗㅇㄱㅓㄴㄱㅣㅁㅁㅕㅇㅁㅣㄴㅂㅏㄱㅎㅢㅅㅜㄴㅇㅣㅈㅗㅇㅅㅓㄱㅂㅏㄱㅎㅜㄴㅈㅓㅇㄱㅏㅁㄷㅗㄱㅇㅕㄴㅇㅖ
50,ㅈㅔㄹㅗㅋㅐㅂㅊㅕㄷㅓㄸㅓㅇㅑㅎㅏㄴㅡㄴㄷㅔㅈㅏㅊㅟㅂㅏㅇㄱㅏㅅㅓㅁㅓㅇㄸㅐㄹㅣㄴㅡㄴㅇㅣㄹㅇㅣㅁㅏㄴㅎㅇㅏㅋ
51,ㄱㅘㅇㅕㄴ
52,ㅇㅣㅈㅔㅂㅏㅁㅅㅐㄸㅗㅇㅕㄹㅅㅣㅁㅎㅣㅌㅡㅇㅟㅌㅓㄹㅡㄹㅎㅏㅅㅣㄴㅡㄴㅇㅣㄹㅁㅏㄴㄴㅏㅁㅇㅡㅅㅕㅆㄱㅡㄴㅏㅇㅓㅅㅗㅅㅔㅇㅛㄴㅈㅜㅁㅜㄹㅈㅜㅁㅜㄹㅈㅗㄴㄲㅜㅁㄲㅜㅅㅕㅆㄴㅏㅁㅗㄹㅡㄱㅔㅆㅇㅓㅇㅕ
53,ㅂㅕㄴㄱㅣㅂㅗㄷㅏㅂㅐㅇㅣㅅㅏㅇㄷㅓㄹㅓㅇㅜㄴㅋㅣㅂㅗㄷㅡㄹㅡㄹㅁㅏㄴㅈㅣㄴㅅㅗㄴㅇㅡㄹㅗㄱㅘㅈㅏㄹㅡㄹㅈㅣㅂㅇㅓㅁㅓㄱㅇㅓㅁㅣㅅㅐㅇㅁㅜㄹㅇㅔㄷㅐㅎㅏㄴㄴㅐㅅㅓㅇㅇㅡㄹㅋㅣㅇㅝㅂㅗㅇㅏㅇㅛ
54,ㄴㅗㅇㅣㄴㅇㅡㄴㅈㅣㅎㅖㄹㅗㅂㄱㅗㅇㅏㅇㅣㄷㅡㄹㅇㅡㄴㅂㅏㄹㅡㄴㅁㅏㄹㅁㅏㄴㅆㅡㅁㅕㅇㅑㅇㅚㅎㅘㄹㄷㅗㅇㅇㅔㅈㅓㄴㄴㅕㅁㅎㅏㄴㅡㄴㄱㅗㅅㅂㅏㄴㅇㅓ
55,ㅁㅔㅇㅣㄹㅣㄴ
56,ㅁㅗㄹㅡㅁㅗㅌㅡㄷㅗㅇㅏㄴㅣㄱㅗ
57,ㄴㅏㄴㅡㄴㅎㅗㅇㅅㅔㅇㅢㅈㅣㄴㅈㅓㅇㅎㅏㄴㅁㅏㅅㅣㄴㅊㅓㄴㅇㅑㅇㅇㅢㄱㅓㅂㅎㅘㅇㅏㄹㅏㅅㅡㅌㅗㄹㅇㅢㅍㅡㄹㄹㅔㅇㅣㅁㅎㅔㅇㅣㅈㅡㅇㅕㅁㅂㅏㄹㅈㅏㄱㅇㅏㄴㅇㅢㅅㅑㄴㅏ
58,ㅂㅗㅌㅗㅇㅎㅡㅂㅎㅕㄹㅎㅏㄴㄱㅔㅇㅏㄹㅇㅡㄹㄴㅏㅎㄱㅣㅇㅟㅎㅐㅇㅔㄴㅓㅈㅣㄱㅏㅍㅣㄹㅇㅛㅎㅐㅎㅡㅂㅎㅕㄹㅎㅏㄴㅡㄴㄱㅓㄹㄹㅗㅇㅏㄹㄱㅗㅇㅣㅆㄴㅡㄴㄷㅔㅇㅓㄹㄹㅡㄴㅇㅏㄴㅈㅏㅂㅇㅡㅅㅣㅁㄱㅗㄹㅇㅏㅍㅏㅈㅣㄹㅈㅣㄷㅗㅁㅗㄹㅡㄱㅔㅆㄱㅜㄴㅇㅛ
59,ㅇㅣㄹㅉㅣㄱㄷㅗㅇㅣㄹㅇㅓㄴㅏㅆㄴㅔㅇㅏㄴㅍㅣㄱㅗㄴㅎㅏㄴㅑ
60,ㅈㅓㄹㅠㄹㅏㅇㅌㅔㄴㅈㅗㅎㅏㅂㄷㅗㄴㅓㅁㅜㅈㅗㅎㅇㅏㅎㅏㄴㅡㄴㄷㅔㄹㅠㅅㅐㅇㅊㅜㄱㄷㅗㅎㅏㄹㄱㅕㅁㄱㅡㄹㅕㅂㅓㄹㅕㅅㅇㅓㅇㅛㅎㅓㅇㅓㅇㅁㅏㅈㅇㅏㅇㅛㄹㅠㄷㅗㄱㅡㄹㅓㅎㄱㅗㅇㅐㄱㅣㄷㅡㄹㄷㅗㄷㅏㅎㅐㅇㅂㅗㄱㅎㅐㅇㅑㅎㅐㅇㅛㅇㅏㄱㅡㅊㅛㅈㅓㄹㅣㅋㅜㄴㅗㄹㅐㅇㅔㅅㅓㄷㅗㅌㅔㄴㅌㅏㅋㅏㅋㅜㅎㅏㄴㅡㄴㅂㅜㅂㅜㄴㄴㅓㅁㅅㅓㄹㄹㅔㅇㅛㅇㅐㄷㅡㄹㅇㅣㄹㅡㅁㄷㅡㄹㅇㅓㄱㅏㅇㅣㅅㅇㅡㅁㅕㄴㄱㅑㅇㄴㅓㅁㅅㅓㄹㄹㅔㅈㅂㅓㄹㅣㄱㅣㅎㅡㅎㅡㄴㅓㅁㅜㅇㅗㅌㅏㅋㅜㄴㄱㅏㅂㅘㅇㅛ
61,ㅇㅑㄴㅓㅈㅓㄹㅓㄴㅇㅑㅇㅇㅏㅊㅣㄹㅏㅇㄷㅏㄴㅣㅁㅕㄴㄴㅣㅇㅣㄴㅅㅐㅇㅎㅏㄴㅅㅜㄴㄱㅏㄴㅇㅔㅁㅏㅇㅊㅕㅇㅛㄴㅓㅇㅗㅃㅏㄱㅏㄱㅡㄹㅐㅆㅈㅏㄴㅎㅇㅏㅎㅏㄴㅅㅜㄴㄱㅏㄴㅇㅔ
62,ㅁㅝㄴㅐㄱㅏㅅㅔㅇㅣㅂㅓㄹㅏㄱㅗ
63,ㅇㅏㅊㅣㅁㅂㅜㅌㅓㅌㅏㅁㄹㅏㄱㅏㅈㅐㅁㅇㅣㅆㄱㅜㄴㅏㄱㅡㄴㄷㅔㅈㅣㄴㅉㅏㅈㅐㅁㅇㅣㅆㄱㅣㄷㅗ
64,ㅅㅗㄱㅇㅏㅍㅡㄷㅏㄴㅁㅏㄹㅇㅑㅈㅣㅇㅈㅣㅇ
65,ㄴㅓㅈㅣㄱㅡㅁㅎㅗㄱㅅㅣㄴㅗㄹㄱㅗㅇㅣㅆㄴㅣ
66,ㅇㅜㄹㅣㅈㅣㅂㄴㅏㅁㅈㅏㄷㅡㄹㄸㅐㅁㅜㄴㅇㅔㅅㅗㄱㅌㅓㅈㅕㅈㅔㅁㅕㅇㅇㅔㅁㅗㅅㅅㅏㄹㄱㅔㅆㅇㅡㅁㅇㅗㄴㅡㄹㄷㅗㅅㅜㅁㅕㅇㄴㅕㄴㅇㅡㄴㅈㅜㄹㅇㅓㅆㄷㅏ
67,ㅆㅏㄹㅆㅏㄹㅎㅏㄴㅇㅏㅊㅣㅁㅇㅣㅇㅑㄱㅏㅁㄱㅣㅈㅗㅅㅣㅁㅎㅐ
68,ㅎㅐㅇㅚㅈㅣㄴㅊㅜㄹㄴㅗㅎㅏㅇㅜㄱㅗㅇㅇㅠㅇㅣㄹㅂㅜㅌㅓㅇㅜㅅㅜㅅㅏㄹㅖㅈㅓㅂㅅㅜ
69,ㄱㅡㄹㄱㅗㅂㅗㄴㅣㄲㅏㅇㅓㅈㅔㅎㅘㅅㅓㅇㅉㅣㄱㅇㅓㅅㄴㅡㄴㄷㅔㅁㅜㄹㄹㅗㄴㅍㅗㄴㅋㅏㅇㅔㅁㅏㄴㅎㅇㅡㄴㄱㅓㅅㅇㅡㄹㅂㅏㄹㅏㅈㅣㄴㅇㅏㄴㅎㅅㅡㅂㄴㅣㄷㅏ
70,
71,ㄴㅏㅇㅣㅅㅡㅅㅑㅅ
72,ㅂㅕㅇㅇㅝㄴㅂㅕㅇㅇㅝㄴㄱㅏㅇㅑㄷㅚㄴㅡㄴㄷㅔㅇㄱㅟㅊㅏㄴㅎ
73,ㅁㅝㅇㅛㅇㅣㅇㅛ
74,ㅇㅜㄹㅣㄱㅏㅌㅇㅣㅅㅜㄹㅁㅏㅅㅣㄱㅗㅂㅏㅁㅅㅐㅈㅗㅎㅇㅏㅆㅈㅏㄴㅎㅇㅏㅅㅏㅇㅊㅓ
75,ㅇㅏㅇㅏㄱㅁㅗㅁㅅㅏㅇㅌㅐㄱㅐㅍㅏㄴ
76,ㅇㅣㄴㅌㅓㅅㅡㅌㅔㄹㄹㅏㄱㅏㅁㅅㅏㅇㅁㅣㄱㅜㄱㄱㅘㄱㅗㅇㄷㅗㄹㅇㅣㄴㅡㄴㅇㅣㄴㄹㅠㄹㅡㄹㅈㅣㅋㅣㄱㅗㅇㅣㅆㅅㅡㅂㄴㅣㄷㅏ
77,ㄴㅛㅇㄴㅛㅇㄴㅠㅇㄴㅑㅇㅇㅠㅇㄴㅛㅇ
78,ㅈㅜㅇㅟㅅㅏㄹㅏㅁㄷㅡㄹㄷㅏㅇㅕㄴㅇㅐㅎㅐ
79,ㄱㅡㄹㅓㅎㅈㅛㄱㅘㅎㅏㄱㅈㅏㄷㅡㄹㅈㅜㅇㅁㅜㄹㅕㄴㅏㄷㅚㄴㅡㄴㅁㅏㄴㅎㅇㅡㄴㄱㅘㅎㅏㄱㅈㅏㄷㅡㄹㅇㅣㅊㅏㅇㅈㅗㄹㅗㄴㅇㅡㄹㅁㅣㄷㄴㅡㄴㄷㅔㅁㅏㄹㅇㅣㅈㅛㄱㅔㄷㅏㄱㅏㅇㅓㄱㄴㅕㄴㅇㅡㄴㅊㅏㅁㅉㅏㄹㅂㅇㅡㄴㅅㅣㄱㅏㄴㅇㅣㅈㅛ
80,ㅍㅗㄴㄴㅐㄴㄷㅏㅎㅏㄱㄱㅛ
